web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1581021882-256","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-royal-pari-O4MAhjci/","William Hill","1.65","4.20","4.00","-","Final result 0:2 (0:2, 0:0)","02 Feb  2020","00:00"
"1581021813-71","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Always Ready - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional/always-ready-aurora-4p1MMkDN/","bet365","1.36","5.00","6.50","91.8%","Final result 1:0 (1:0, 0:0)","25 Jan  2020","19:00"
"1581021843-144","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Santa Cruz - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional/santa-cruz-the-strongest-OlYnwBc4/","1xBet","4.66","4.72","1.56","93.7%","Final result 3:2 (2:1, 1:1)","27 Jan  2020","01:00"
"1581021870-223","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional/aurora-wilstermann-zkTST6Kj/","bet-at-home","3.10","3.45","1.92","88.2%","Final result 2:1 (1:0, 1:1)","31 Jan  2020","00:30"
"1581021817-91","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Vinto - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional/vinto-royal-pari-YJ5QL9ST/","William Hill","1.85","3.50","3.75","91.5%","Final result 1:0 (0:0, 1:0)","25 Jan  2020","21:15"
"1581021800-49","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Royal Pari - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional/royal-pari-oriente-petrolero-rVCDOBrB/","bwin","2.50","3.40","2.40","90.0%","Final result 1:0 (0:0, 1:0)","23 Jan  2020","00:30"
"1581021817-84","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Vinto - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional/vinto-royal-pari-YJ5QL9ST/","Bethard","1.87","3.30","3.85","91.1%","Final result 1:0 (0:0, 1:0)","25 Jan  2020","21:15"
"1581021877-241","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Always Ready - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional/always-ready-the-strongest-xSSQl8dG/","Coolbet","2.20","3.75","2.65","91.0%","Final result 4:1 (2:0, 2:1)","01 Feb  2020","19:00"
"1581021800-44","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Royal Pari - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional/royal-pari-oriente-petrolero-rVCDOBrB/","Asianodds","2.86","3.65","2.34","95.1%","Final result 1:0 (0:0, 1:0)","23 Jan  2020","00:30"
"1581021780-5","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Blooming - Santa Cruz","https://www.oddsportal.com/soccer/bolivia/division-profesional/blooming-santa-cruz-t6GdSgqn/","Coolbet","1.57","4.20","4.40","90.7%","Final result 1:1 (0:0, 1:1)","22 Jan  2020","00:30"
"1581021800-55","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Royal Pari - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional/royal-pari-oriente-petrolero-rVCDOBrB/","null","null","null","null","null","Final result 1:0 (0:0, 1:0)","23 Jan  2020","00:30"
"1581021888-264","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Bolivar - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional/bolivar-nacional-potosi-YBZnFbvm/","bwin","1.33","5.00","6.50","90.4%","Final result 4:0 (1:0, 3:0)","02 Feb  2020","00:00"
"1581021914-332","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Santa Cruz - San Jose","https://www.oddsportal.com/soccer/bolivia/division-profesional/santa-cruz-san-jose-K8VrGvPt/","William Hill","1.55","4.00","5.00","91.3%","Final result 1:1 (0:0, 1:1)","05 Feb  2020","19:00"
"1581021882-251","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-royal-pari-O4MAhjci/","bwin","1.70","4.10","3.60","90.1%","Final result 0:2 (0:2, 0:0)","02 Feb  2020","00:00"
"1581021856-189","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Nacional Potosi - Vinto","https://www.oddsportal.com/soccer/bolivia/division-profesional/nacional-potosi-vinto-xEmhz9sN/","Coolbet","1.50","4.50","4.75","91.0%","Final result 4:2 (1:2, 3:0)","29 Jan  2020","22:15"
"1581021821-96","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-bolivar-zTihHTzo/","bet365","5.25","4.20","1.50","91.3%","Final result 2:5 (2:3, 0:2)","25 Jan  2020","23:30"
"1581021901-288","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Real Potosi - Santa Cruz","https://www.oddsportal.com/soccer/bolivia/division-profesional/real-potosi-santa-cruz-GIRUmSBM/","Bethard","1.44","4.65","5.20","-","Final result 2:1 (0:1, 2:0)","02 Feb  2020","21:15"
"1581021800-45","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Royal Pari - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional/royal-pari-oriente-petrolero-rVCDOBrB/","bet-at-home","2.65","3.34","2.20","88.4%","Final result 1:0 (0:0, 1:0)","23 Jan  2020","00:30"
"1581021821-104","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-bolivar-zTihHTzo/","William Hill","5.25","4.60","1.47","91.9%","Final result 2:5 (2:3, 0:2)","25 Jan  2020","23:30"
"1581021896-278","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Wilstermann - Blooming","https://www.oddsportal.com/soccer/bolivia/division-profesional/wilstermann-blooming-r5TMklsA/","Coolbet","1.24","5.50","9.00","91.0%","Final result 3:0 (2:0, 1:0)","02 Feb  2020","19:00"
"1581021807-66","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Nacional Potosi - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional/nacional-potosi-wilstermann-Qg2INVcH/","William Hill","2.70","3.60","2.25","91.5%","Final result 1:0 (0:0, 1:0)","24 Jan  2020","00:00"
"1581021827-109","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Real Potosi - Blooming","https://www.oddsportal.com/soccer/bolivia/division-profesional/real-potosi-blooming-xYVztDDo/","bet365","1.57","4.00","5.00","92.0%","Final result 1:3 (0:1, 1:2)","26 Jan  2020","19:00"
"1581021870-226","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional/aurora-wilstermann-zkTST6Kj/","BetJOE","3.54","3.80","1.87","92.6%","Final result 2:1 (1:0, 1:1)","31 Jan  2020","00:30"
"1581021901-284","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Real Potosi - Santa Cruz","https://www.oddsportal.com/soccer/bolivia/division-profesional/real-potosi-santa-cruz-GIRUmSBM/","1xBet","1.51","4.82","5.05","93.7%","Final result 2:1 (0:1, 2:0)","02 Feb  2020","21:15"
"1581021784-13","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Guabira - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional/guabira-always-ready-xY95QXDb/","BetJOE","2.59","3.69","2.36","92.5%","Final result 2:1 (1:0, 1:1)","22 Jan  2020","19:00"
"1581021901-285","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Real Potosi - Santa Cruz","https://www.oddsportal.com/soccer/bolivia/division-profesional/real-potosi-santa-cruz-GIRUmSBM/","Asianodds","1.41","5.31","6.06","94.1%","Final result 2:1 (0:1, 2:0)","02 Feb  2020","21:15"
"1581021896-279","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Wilstermann - Blooming","https://www.oddsportal.com/soccer/bolivia/division-profesional/wilstermann-blooming-r5TMklsA/","MrGreen","1.22","5.60","9.00","-","Final result 3:0 (2:0, 1:0)","02 Feb  2020","19:00"
"1581021833-127","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Wilstermann - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional/wilstermann-guabira-jyzuuXSi/","Pinnacle","1.17","6.92","14.91","93.8%","Final result 1:0 (0:0, 1:0)","26 Jan  2020","21:15"
"1581021784-14","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Guabira - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional/guabira-always-ready-xY95QXDb/","bwin","2.70","3.60","2.15","89.8%","Final result 2:1 (1:0, 1:1)","22 Jan  2020","19:00"
"1581021833-119","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Wilstermann - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional/wilstermann-guabira-jyzuuXSi/","Asianodds","1.19","6.92","14.91","95.1%","Final result 1:0 (0:0, 1:0)","26 Jan  2020","21:15"
"1581021852-172","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","The Strongest - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-real-potosi-rillykSG/","bet365","1.10","9.00","13.00","91.1%","Final result 3:2 (3:0, 0:2)","29 Jan  2020","22:15"
"1581021813-73","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Always Ready - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional/always-ready-aurora-4p1MMkDN/","BetJOE","1.37","5.05","6.56","92.6%","Final result 1:0 (1:0, 0:0)","25 Jan  2020","19:00"
"1581021839-134","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional/oriente-petrolero-nacional-potosi-pbZrvirb/","bet365","1.44","4.33","5.75","91.0%","Final result 1:0 (0:0, 1:0)","26 Jan  2020","21:15"
"1581021860-207","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Blooming - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional/blooming-always-ready-jHidZSdT/","null","null","null","null","null","Final result 0:2 (0:1, 0:1)","30 Jan  2020","00:30"
"1581021821-97","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-bolivar-zTihHTzo/","Bethard","4.95","4.70","1.47","91.3%","Final result 2:5 (2:3, 0:2)","25 Jan  2020","23:30"
"1581021827-111","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Real Potosi - Blooming","https://www.oddsportal.com/soccer/bolivia/division-profesional/real-potosi-blooming-xYVztDDo/","BetJOE","1.58","4.02","5.03","92.6%","Final result 1:3 (0:1, 1:2)","26 Jan  2020","19:00"
"1581021821-93","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-bolivar-zTihHTzo/","1xBet","4.48","4.96","1.56","93.8%","Final result 2:5 (2:3, 0:2)","25 Jan  2020","23:30"
"1581021821-99","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-bolivar-zTihHTzo/","bwin","4.50","4.25","1.53","90.0%","Final result 2:5 (2:3, 0:2)","25 Jan  2020","23:30"
"1581021852-171","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","The Strongest - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-real-potosi-rillykSG/","bet-at-home","1.07","7.85","15.26","88.7%","Final result 3:2 (3:0, 0:2)","29 Jan  2020","22:15"
"1581021877-234","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Always Ready - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional/always-ready-the-strongest-xSSQl8dG/","1xBet","2.26","3.86","2.72","93.5%","Final result 4:1 (2:0, 2:1)","01 Feb  2020","19:00"
"1581021882-248","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","San Jose - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional/san-jose-royal-pari-O4MAhjci/","bet365","1.66","3.80","4.00","89.6%","Final result 0:2 (0:2, 0:0)","02 Feb  2020","00:00"
"1581021784-15","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Guabira - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional/guabira-always-ready-xY95QXDb/","Coolbet","2.55","3.60","2.35","91.3%","Final result 2:1 (1:0, 1:1)","22 Jan  2020","19:00"
"1581021813-69","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Always Ready - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional/always-ready-aurora-4p1MMkDN/","Asianodds","1.35","5.37","7.14","93.7%","Final result 1:0 (1:0, 0:0)","25 Jan  2020","19:00"
"1581021909-316","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Vinto - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional/vinto-guabira-2eLEiACc/","Coolbet","1.52","4.20","5.00","91.2%","Final result 2:0 (0:0, 2:0)","02 Feb  2020","23:30"
"1581021833-118","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Wilstermann - Guabira","https://www.oddsportal.com/soccer/bolivia/division-profesional/wilstermann-guabira-jyzuuXSi/","1xBet","1.21","6.75","11.00","93.9%","Final result 1:0 (0:0, 1:0)","26 Jan  2020","21:15"
"1581021847-158","https://www.oddsportal.com/soccer/bolivia/division-profesional/results/","Royal Pari - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional/royal-pari-bolivar-40kpxVCA/","bet-at-home","2.63","3.48","2.16","88.5%","Final result 1:0 (0:0, 1:0)","29 Jan  2020","19:00"
