web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
1576854652-1369,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,The Strongest - Bolivar,https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-bolivar-fJgc0vd6/,bet365,2.2,3.6,3,93.80%,"Final result 3:2 (1:1, 2:1)",20-Dec-19,0:30
1576854652-1367,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,The Strongest - Bolivar,https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-bolivar-fJgc0vd6/,Asianodds,2.23,3.65,3.07,95.40%,"Final result 3:2 (1:1, 2:1)",20-Dec-19,0:30
1576854647-1354,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,Sport Boys - Oriente Petrolero,https://www.oddsportal.com/soccer/bolivia/division-profesional/sport-boys-oriente-petrolero-bi0l20Rg/,Asianodds,2,3.4,3.65,93.60%,"Final result 1:2 (0:0, 1:2)",20-Dec-19,0:00
1576854652-1377,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,The Strongest - Bolivar,https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-bolivar-fJgc0vd6/,William Hill,2.15,3.5,3,92.20%,"Final result 3:2 (1:1, 2:1)",20-Dec-19,0:30
1576854647-1358,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,Sport Boys - Oriente Petrolero,https://www.oddsportal.com/soccer/bolivia/division-profesional/sport-boys-oriente-petrolero-bi0l20Rg/,bwin,2.2,3.1,3,90.10%,"Final result 1:2 (0:0, 1:2)",20-Dec-19,0:00
1576854652-1373,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,The Strongest - Bolivar,https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-bolivar-fJgc0vd6/,Marathonbet,2.16,3.62,3.13,94.50%,"Final result 3:2 (1:1, 2:1)",20-Dec-19,0:30
1576854647-1357,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,Sport Boys - Oriente Petrolero,https://www.oddsportal.com/soccer/bolivia/division-profesional/sport-boys-oriente-petrolero-bi0l20Rg/,Bethard,1.95,3.4,3.35,90.50%,"Final result 1:2 (0:0, 1:2)",20-Dec-19,0:00
1576854652-1365,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,The Strongest - Bolivar,https://www.oddsportal.com/soccer/bolivia/division-profesional/the-strongest-bolivar-fJgc0vd6/,18bet,2.2,3.6,2.95,93.30%,"Final result 3:2 (1:1, 2:1)",20-Dec-19,0:30
1576854647-1353,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,Sport Boys - Oriente Petrolero,https://www.oddsportal.com/soccer/bolivia/division-profesional/sport-boys-oriente-petrolero-bi0l20Rg/,1xBet,2.18,3.46,3.01,92.60%,"Final result 1:2 (0:0, 1:2)",20-Dec-19,0:00
1576854647-1359,https://www.oddsportal.com/soccer/bolivia/division-profesional/results/,Sport Boys - Oriente Petrolero,https://www.oddsportal.com/soccer/bolivia/division-profesional/sport-boys-oriente-petrolero-bi0l20Rg/,Coolbet,2.05,3.3,3.25,91.00%,"Final result 1:2 (0:0, 1:2)",20-Dec-19,0:00
