web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1579704397-488","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Nacional Potosi - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/nacional-potosi-real-potosi-z1TfF7Mu/","William Hill","1.47","4.60","5.25","91.9%","Final result 1:2 (0:1, 1:1)","25 Dec  2019","20:00"
"1579704397-484","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Nacional Potosi - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/nacional-potosi-real-potosi-z1TfF7Mu/","Coolbet","1.50","4.75","4.50","91.0%","Final result 1:2 (0:1, 1:1)","25 Dec  2019","20:00"
"1579704391-466","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Royal Pari - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/royal-pari-wilstermann-Klgoe4yO/","1xBet","5.40","4.98","1.49","94.6%","Final result 0:2 (0:0, 0:2)","25 Dec  2019","20:00"
"1579704213-97","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Destroyers - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/destroyers-always-ready-4GLBlscf/","1xBet","2.78","3.72","2.33","94.5%","Final result 1:3 (0:1, 1:2)","11 Dec  2019","19:00"
"1579704452-587","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Always Ready - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/always-ready-nacional-potosi-CrIO8N5N/","bet365","3.50","3.00","2.10","91.3%","Final result 3:2 (1:1, 2:1)","28 Dec  2019","20:00"
"1579704430-538","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Real Potosi - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/real-potosi-sport-boys-65HS7sLT/","Asianodds","2.04","3.83","3.95","99.6%","null","28 Dec  2019","20:00"
"1579704270-225","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Bolivar - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/bolivar-aurora-YeDSpadJ/","Pinnacle","1.03","15.77","41.96","-","Bolivar awarded (5:0)","15 Dec  2019","20:00"
"1579704223-122","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/san-jose-bolivar-pE5Aj3Ss/","Asianodds","2.19","3.75","3.12","95.8%","Final result 2:2 (1:1, 1:1)","12 Dec  2019","00:30"
"1579704206-65","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Wilstermann - San Jose","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/wilstermann-san-jose-6LLBhjbS/","Bethard","1.65","4.05","4.05","90.9%","Final result 1:1 (0:0, 1:1)","08 Dec  2019","21:15"
"1579704346-392","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-royal-pari-OMaxcQ6B/","William Hill","2.30","3.60","2.62","91.4%","Final result 1:3 (0:1, 1:2)","22 Dec  2019","19:00"
"1579704346-393","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Royal Pari","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-royal-pari-OMaxcQ6B/","null","null","null","null","null","Final result 1:3 (0:1, 1:2)","22 Dec  2019","19:00"
"1579704219-110","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-real-potosi-QPM7kNsl/","Asianodds","1.49","4.90","6.34","96.8%","Final result 2:0 (1:0, 1:0)","11 Dec  2019","22:15"
"1579704185-17","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Sport Boys - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/sport-boys-nacional-potosi-KS1nnlyd/","Bethard","2.25","3.50","2.75","91.4%","Final result 0:0 (0:0, 0:0)","07 Dec  2019","19:00"
"1579704285-257","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/oriente-petrolero-nacional-potosi-025E82lQ/","Bethard","1.95","3.50","3.25","90.4%","Final result 2:2 (2:0, 0:2)","15 Dec  2019","23:30"
