web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574805349-12361","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/3/","Blooming - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/blooming-the-strongest-fu9xJ7hh/","bet-at-home","2.51","3.33","2.32","88.5%","Final result 4:1 (1:0, 3:1)","29 Jun  2017","00:30"
"1574805078-11291","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/5/","U. Sucre - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/universitario-de-sucre-real-potosi-MyjU7SR0/","Unibet","1.20","5.80","12.00","91.8%","Final result 0:2 (0:1, 0:1)","12 Mar  2017","21:15"
"1574805651-13731","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","Guabira - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/guabira-the-strongest-424gmrqJ/","William Hill","2.70","3.50","2.25","90.9%","Final result 2:0 (2:0, 0:0)","26 Nov  2017","19:00"
"1574805647-13715","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/oriente-petrolero-nacional-potosi-QB5klOTC/","Marathonbet","1.48","4.70","6.50","95.9%","Final result 2:0 (0:0, 2:0)","25 Nov  2017","21:15"
"1574805638-13673","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","San Jose - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/san-jose-guabira-zNCxiQqf/","Bethard","1.31","4.80","7.75","90.8%","Final result 2:0 (0:0, 2:0)","19 Nov  2017","21:15"
"1574805622-13583","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","Bolivar - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/bolivar-real-potosi-jgi7yop7/","bwin","1.16","6.50","11.00","90.3%","Final result 1:0 (0:0, 1:0)","12 Nov  2017","20:00"
"1574805301-12155","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/4/","Guabira - Sport Boys","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/guabira-sport-boys-GjwmkHGc/","William Hill","1.91","3.80","3.20","91.0%","Final result 3:1 (2:0, 1:1)","15 Jun  2017","19:00"
"1574805528-13184","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/2/","U. Sucre - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/universitario-de-sucre-bolivar-08fvHJ2N/","Pinnacle","3.14","3.64","2.24","96.2%","Final result 1:2 (0:2, 1:0)","15 Oct  2017","19:00"
"1574805672-13831","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/san-jose-bolivar-6qtO2Nr6/","Coolbet","2.70","3.20","2.40","90.9%","Final result 1:1 (0:0, 1:1)","01 Dec  2017","22:15"
"1574805468-12901","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/2/","Blooming - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/blooming-the-strongest-QZFoVT4p/","Unibet","2.70","3.45","2.23","-","Final result 0:0 (0:0, 0:0)","14 Sep  2017","00:30"
"1574804930-10800","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/6/","San Jose - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/san-jose-universitario-de-sucre-EiIVhlH2/","Unibet","2.15","3.35","3.10","92.1%","Final result 1:1 (1:1, 0:0)","17 Dec  2016","20:00"
"1574805558-13311","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/2/","Bolivar - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/bolivar-guabira-jc9MTdnT/","bwin","1.13","6.75","13.50","90.3%","Final result 3:0 (2:0, 1:0)","22 Oct  2017","00:00"
"1574805026-11113","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/5/","Petrolero de Yacuiba - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/petrolero-de-yacuiba-san-jose-j9XBYAr6/","null","null","null","null","null","Final result 2:0 (1:0, 1:0)","19 Feb  2017","19:00"
"1574805175-11676","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/4/","Real Potosi - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/real-potosi-universitario-de-sucre-KQ234mM1/","William Hill","2.00","3.50","3.20","91.1%","Final result 1:0 (0:0, 1:0)","29 Apr  2017","19:00"
"1574805717-14022","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","The Strongest - Wilstermann","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/the-strongest-wilstermann-GYZLJFJc/","bet365","1.75","3.79","3.79","91.0%","Final result 1:2 (0:2, 1:0)","17 Dec  2017","19:00"
"1574805180-11690","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/4/","Sport Boys - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/sport-boys-san-jose-2kSmCau8/","18bet","1.90","3.70","3.50","92.4%","Final result 0:0 (0:0, 0:0)","30 Apr  2017","15:00"
"1574805269-12046","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/4/","U. Sucre - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/universitario-de-sucre-nacional-potosi-hzZK4HXs/","Unibet","1.80","3.70","3.80","91.8%","Final result 1:2 (0:1, 1:1)","10 Jun  2017","19:00"
"1574805037-11147","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/5/","Sport Boys - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/sport-boys-bolivar-OKvry444/","bwin","2.80","3.20","2.25","89.8%","Final result 3:2 (1:1, 2:1)","23 Feb  2017","19:00"
"1574804592-9753","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/8/","Blooming - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/blooming-universitario-de-sucre-4nQ4wfaP/","bet365","1.67","3.50","4.33","89.6%","Final result 0:0 (0:0, 0:0)","10 Sep  2016","21:15"
"1574805531-13200","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/2/","Real Potosi - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/real-potosi-guabira-IqkqGwIT/","null","null","null","null","null","Final result 2:0 (0:0, 2:0)","15 Oct  2017","19:00"
"1574804740-10235","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/7/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/san-jose-bolivar-W2cdT9yI/","Unibet","2.80","3.45","2.28","92.1%","Final result 0:2 (0:0, 0:2)","28 Oct  2016","00:00"
"1574805415-12663","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/3/","Real Potosi - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/real-potosi-bolivar-bJE1FoAL/","Unibet","3.60","3.45","1.84","90.0%","Final result 2:3 (0:1, 2:2)","20 Aug  2017","19:00"
"1574804990-11006","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/6/","Sport Boys - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/sport-boys-guabira-00GHOZEs/","Marathonbet","1.42","4.95","7.40","96.0%","Final result 1:1 (0:1, 1:0)","05 Feb  2017","19:00"
"1574805661-13776","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/","Wilstermann - Sport Boys","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/wilstermann-sport-boys-GfmB5Pbm/","bet365","1.25","5.00","11.00","91.7%","Final result 3:1 (1:0, 2:1)","30 Nov  2017","19:00"
"1574805048-11202","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/results/#/page/5/","Guabira - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2016-2017/guabira-nacional-potosi-WWh3gTC7/","Pinnacle","1.65","4.05","5.34","96.1%","Final result 3:1 (0:0, 3:1)","04 Mar  2017","19:00"
