web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574826521-14749","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/2/","San Jose - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/san-jose-blooming-A1tzZpxf/","null","null","null","null","null","Final result 4:0 (2:0, 2:0)","19 Jul  2009","16:00"
"1574829036-15608","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/#/page/4/","Real Potosi - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/real-potosi-guabira-8lmEMjRg/","null","null","null","null","null","Final result 3:0","22 May  2010","19:30"
"1574833245-17183","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/4/","Nacional Potosi - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/nacional-potosi-universitario-de-sucre-MZcz5Dn2/","null","null","null","null","null","Final result 2:3 (1:0, 1:3)","04 Dec  2011","21:00"
"1574828708-15154","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/","Bolivar - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/bolivar-oriente-petrolero-Gj8i2ULM/","bwin","1.50","3.60","5.90","89.8%","Final result 2:2 (0:0, 2:2)","29 Nov  2009","19:45"
"1574834048-18370","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/#/page/4/","Wilstermann - U. Sucre","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/wilstermann-universitario-de-sucre-hl2XkOn4/","Pinnacle","1.88","3.84","4.05","96.2%","Final result 3:3 (2:1, 1:2)","29 Nov  2012","00:10"
"1574833520-17536","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/2/","Real Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/real-potosi-san-jose-Yoz1Y86R/","null","null","null","null","null","Final result 2:1 (2:0, 0:1)","08 Apr  2012","19:30"
"1574838003-24805","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/4/","Ciclon - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/ciclon-real-potosi-Cv0cTaMq/","1xBet","1.48","4.60","6.70","95.9%","Final result 2:0 (1:0, 1:0)","01 Nov  2015","19:00"
"1574835458-21592","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/5/","Real Potosi - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/real-potosi-the-strongest-byYPTZAt/","Pinnacle","2.43","3.50","2.91","96.1%","Final result 1:0 (1:0, 0:0)","24 Aug  2014","19:00"
"1574826473-14668","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/3/","Wilstermann - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/wilstermann-oriente-petrolero-UgRNVaLp/","Unibet","3.70","3.50","1.80","90.0%","Final result 1:1","26 Jun  2009","00:00"
"1574835856-22800","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/3/","Blooming - U. Pando","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/blooming-universitario-de-pando-CW1R0Vx2/","William Hill","1.20","6.00","11.00","91.7%","Final result 1:1 (1:1, 0:0)","24 Jan  2015","21:00"
